KOD;NAZEV;VUSC_KOD;KRAJ_1960_KOD;NUTS_LAU;PLATI_OD;PLATI_DO;DATUM_VZNIKU
3806;Opava;132;38;CZ0805;01.11.2016 00:00:00;;11.04.1960 00:00:00
3807;Ostrava-město;132;38;CZ0806;27.04.2017 00:00:00;;11.04.1960 00:00:00
3606;Pardubice;94;36;CZ0532;29.03.2017 00:00:00;;11.04.1960 00:00:00
3304;Pelhřimov;108;33;CZ0633;27.03.2017 00:00:00;;11.04.1960 00:00:00
3406;Plzeň-jih;43;34;CZ0324;29.03.2017 00:00:00;;11.04.1960 00:00:00
3405;Plzeň-město;43;34;CZ0323;28.03.2017 00:00:00;;11.04.1960 00:00:00
3407;Plzeň-sever;43;34;CZ0325;23.11.2016 00:00:00;;11.04.1960 00:00:00
3306;Prachatice;35;33;CZ0315;29.05.2017 00:00:00;;11.04.1960 00:00:00
3209;Praha-východ;27;32;CZ0209;22.11.2016 00:00:00;;11.04.1960 00:00:00
3210;Praha-západ;27;32;CZ020A;22.03.2017 00:00:00;;11.04.1960 00:00:00
3709;Prostějov;124;37;CZ0713;24.05.2017 00:00:00;;11.04.1960 00:00:00
3305;Písek;35;33;CZ0314;11.12.2016 00:00:00;;11.04.1960 00:00:00
3808;Přerov;124;38;CZ0714;16.12.2016 00:00:00;;11.04.1960 00:00:00
3211;Příbram;27;32;CZ020B;09.06.2016 00:00:00;;11.04.1960 00:00:00
3212;Rakovník;27;32;CZ020C;13.07.2016 00:00:00;;11.04.1960 00:00:00
3408;Rokycany;43;34;CZ0326;29.03.2017 00:00:00;;11.04.1960 00:00:00
3607;Rychnov nad Kněžnou;86;36;CZ0524;06.04.2017 00:00:00;;11.04.1960 00:00:00
3608;Semily;78;36;CZ0514;04.06.2016 00:00:00;;11.04.1960 00:00:00
3409;Sokolov;51;34;CZ0413;29.03.2017 00:00:00;;11.04.1960 00:00:00
3307;Strakonice;35;33;CZ0316;02.05.2017 00:00:00;;11.04.1960 00:00:00
3609;Svitavy;94;36;CZ0533;30.03.2017 00:00:00;;11.04.1960 00:00:00
3410;Tachov;43;34;CZ0327;12.04.2017 00:00:00;;11.04.1960 00:00:00
3509;Teplice;60;35;CZ0426;20.09.2016 00:00:00;;11.04.1960 00:00:00
3610;Trutnov;86;36;CZ0525;29.11.2016 00:00:00;;11.04.1960 00:00:00
3308;Tábor;35;33;CZ0317;08.03.2017 00:00:00;;11.04.1960 00:00:00
3710;Třebíč;108;37;CZ0634;29.05.2017 00:00:00;;11.04.1960 00:00:00
3711;Uherské Hradiště;141;37;CZ0722;25.04.2017 00:00:00;;11.04.1960 00:00:00
3810;Vsetín;141;38;CZ0723;21.09.2016 00:00:00;;11.04.1960 00:00:00
3712;Vyškov;116;37;CZ0646;28.03.2017 00:00:00;;11.04.1960 00:00:00
3705;Zlín;141;37;CZ0724;15.05.2017 00:00:00;;11.04.1960 00:00:00
3713;Znojmo;116;37;CZ0647;01.12.2016 00:00:00;;11.04.1960 00:00:00
3809;Šumperk;124;38;CZ0715;23.02.2017 00:00:00;;11.04.1960 00:00:00
3714;Žďár nad Sázavou;108;37;CZ0635;08.02.2017 00:00:00;;11.04.1960 00:00:00
3501;Česká Lípa;78;35;CZ0511;10.04.2017 00:00:00;;11.04.1960 00:00:00
3301;České Budějovice;35;33;CZ0311;16.02.2017 00:00:00;;11.04.1960 00:00:00
3302;Český Krumlov;35;33;CZ0312;16.02.2017 00:00:00;;11.04.1960 00:00:00
3510;Ústí nad Labem;60;35;CZ0427;20.09.2016 00:00:00;;11.04.1960 00:00:00
3611;Ústí nad Orlicí;94;36;CZ0534;29.03.2017 00:00:00;;11.04.1960 00:00:00

